"nct_id","reporting_lag_days","delayed_reporting","covid_period","TOCI","SGMP"
"NCT00001262",735,1,0,0.884022351424617,0.359241126070991
"NCT00002525",405,1,0,3.62585396992541,0.340836012861736
"NCT00002540",466,1,0,5.58186119971903,0.359241126070991
"NCT00002874",645,1,0,4.61114764795176,0.340836012861736
"NCT00002975",1520,1,0,0.599976440687461,0.398611425552789
"NCT00003910",685,1,0,0.873141541156236,0.340836012861736
"NCT00006011",1511,1,0,3.45161373458461,0.340836012861736
"NCT00006170",1265,1,0,3.03406611743406,0.368074063683546
"NCT00006184",1797,1,0,0.182070896676758,0.57
"NCT00006237",20,0,0,4.17414984241766,0.340836012861736
"NCT00007345",353,0,0,2.39216254810227,0.57
"NCT00007475",354,0,0,0.00306399290749426,0.359241126070991
"NCT00010803",331,0,0,4.46350797481079,0.359241126070991
"NCT00017563",365,0,0,-0.149174970011363,0.368074063683546
"NCT00027378",1684,1,0,0.766159549895788,0.368074063683546
"NCT00030264",1560,1,0,-0.730028854885119,0.398611425552789
"NCT00033540",1506,1,0,0.850825029988637,0.340836012861736
"NCT00033657",629,1,0,1.19610586735422,0.340836012861736
"NCT00036270",364,0,0,5.22622503210474,0.458841572152079
"NCT00039741",840,1,0,2.8558815423584,0.359241126070991
"NCT00040742",1044,1,0,2.5322429332931,0.387660069848661
"NCT00041132",1557,1,0,0.839376497361977,0.340836012861736
"NCT00044083",813,1,0,1.70093007204013,0.359241126070991
"NCT00044512",357,0,0,2.42142398915138,0.458841572152079
"NCT00044655",1641,1,0,2.72842579193624,0.398611425552789
"NCT00047879",693,1,0,-0.453216797533494,0.142857142857143
"NCT00048581",554,1,0,3.52603693684185,0.458841572152079
"NCT00053898",965,1,0,5.47097027048948,0.340836012861736
"NCT00054275",662,1,0,0.60623438894885,0.387660069848661
"NCT00056498",448,1,0,1.93588175766128,0.368074063683546
"NCT00057837",346,0,0,1.43558096561009,0.340836012861736
"NCT00059787",1794,1,0,0.839376497361977,0.359241126070991
"NCT00063635",1000,1,0,2.57401297263701,0.359241126070991
"NCT00064792",577,1,0,0.269971145114881,0.4
"NCT00065156",395,1,0,2.47190874998672,0.458841572152079
"NCT00065507",482,1,0,3.6523866577952,0.458841572152079
"NCT00065806",1138,1,0,2.73438306366755,0.387660069848661
"NCT00068341",803,1,0,1.0200311467566,0.398611425552789
"NCT00070018",461,1,0,-0.287606977038285,0.340836012861736
"NCT00070317",1681,1,0,2.22886257697079,0.340836012861736
"NCT00071890",987,1,0,2.47190874998672,0.142857142857143
"NCT00073008",319,0,0,2.39216254810227,0.458841572152079
"NCT00074958",1372,1,0,1.04297160724741,0.447563996696945
"NCT00075829",900,1,0,3.50061077898522,0.359241126070991
"NCT00076687",696,1,0,2.50212991424654,0.458841572152079
"NCT00077922",291,0,0,0.00306399290749426,0.57
"NCT00078312",1036,1,0,2.99333514584656,0.447563996696945
"NCT00078559",775,1,0,-0.243586975428085,0.398611425552789
"NCT00079001",818,1,0,4.43750012125846,0.398611425552789
"NCT00079339",151,0,0,0.778941971598163,0.359241126070991
"NCT00081731",70,0,0,3.68998441721882,0.398611425552789
"NCT00083174",593,1,0,5.72409518812253,0.340836012861736
"NCT00083616",1163,1,0,1.61791417273606,0.458841572152079
"NCT00083759",1429,1,0,2.93259272763858,0.458841572152079
"NCT00084838",1750,1,0,0.322661181157175,0.368074063683546
"NCT00086047",377,1,0,2.30140644254436,0.398611425552789
"NCT00086957",431,1,0,0.459344783348483,0.398611425552789
"NCT00087516",1744,1,0,4.52870381706057,0.458841572152079
"NCT00087633",348,0,0,2.30710582042963,0.458841572152079
"NCT00087685",304,0,0,0.536878297322267,0.398611425552789
"NCT00087698",353,0,0,1.04584912380555,0.447563996696945
"NCT00089583",330,0,0,2.27810227322656,0.458841572152079
"NCT00089635",1313,1,0,1.67872113077776,0.458841572152079
"NCT00089843",1288,1,0,1.04584912380555,0.368074063683546
"NCT00090259",456,1,0,4.60996859764354,0.458841572152079
"NCT00090285",75,0,0,5.64847123044153,0.458841572152079
"NCT00090545",1787,1,0,0.712393022961715,0.57
"NCT00090987",510,1,0,0.438445439646692,0.340836012861736
"NCT00091949",232,0,0,5.61713866578527,0.398611425552789
"NCT00092456",1753,1,0,3.57329149401017,0.458841572152079
"NCT00094107",1396,1,0,1.47960096722029,0.458841572152079
"NCT00094458",365,0,0,4.28059952633837,0.458841572152079
"NCT00095576",1389,1,0,4.44854409267713,0.458841572152079
"NCT00096031",1525,1,0,0.915625573789471,0.340836012861736
"NCT00096954",312,0,0,3.00326405253711,0.458841572152079
"NCT00097669",1665,1,0,4.10741791924415,0.383561643835616
"NCT00097773",1442,1,0,1.94347353790696,0.368074063683546
"NCT00098865",899,1,0,0.00306399290749426,0.368074063683546
"NCT00099632",585,1,0,3.24880546610066,0.359241126070991
"NCT00100789",1595,1,0,0.955533188129391,0.340836012861736
"NCT00101166",932,1,0,0.668974605453891,0.398611425552789
"NCT00101192",918,1,0,1.03735514745676,0.340836012861736
"NCT00101660",1179,1,0,3.10191586050029,0.458841572152079
"NCT00101816",1202,1,0,2.35629439059057,0.447563996696945
"NCT00104104",1163,1,0,2.59632948380461,0.447563996696945
"NCT00104234",827,1,0,1.60623438894885,0.447563996696945
"NCT00104416",624,1,0,3.49363593789775,0.458841572152079
"NCT00104520",1441,1,0,2.70404248461672,0.447563996696945
"NCT00104572",489,1,0,0.683767902922634,0.359241126070991
"NCT00104650",1043,1,0,2.28400611579234,0.447563996696945
